JJ:
	0: 46
	1: 42
	2: 29
	3: 10
	4: 1
	5: 4
	6: 0
	7: 0
	8: 0
	9: 0

-RRB-:
	0: 130
	1: 2
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

RB:
	0: 60
	1: 38
	2: 23
	3: 10
	4: 1
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

DT:
	0: 60
	1: 39
	2: 24
	3: 6
	4: 3
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

TO:
	0: 102
	1: 26
	2: 4
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

RP:
	0: 129
	1: 3
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

RBR:
	0: 130
	1: 2
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

RBS:
	0: 131
	1: 1
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

LS:
	0: 130
	1: 2
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

JJS:
	0: 123
	1: 9
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

JJR:
	0: 123
	1: 6
	2: 2
	3: 0
	4: 1
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

FW:
	0: 124
	1: 6
	2: 0
	3: 2
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

NN:
	0: 6
	1: 24
	2: 30
	3: 27
	4: 18
	5: 14
	6: 8
	7: 0
	8: 4
	9: 1

NNPS:
	0: 127
	1: 3
	2: 2
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

VB:
	0: 89
	1: 31
	2: 11
	3: 0
	4: 1
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

VBN:
	0: 108
	1: 22
	2: 2
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

PDT:
	0: 132
	1: 0
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

VBP:
	0: 80
	1: 44
	2: 5
	3: 2
	4: 0
	5: 1
	6: 0
	7: 0
	8: 0
	9: 0

``:
	0: 128
	1: 4
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

WP$:
	0: 132
	1: 0
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

PRP:
	0: 73
	1: 35
	2: 14
	3: 6
	4: 2
	5: 0
	6: 1
	7: 1
	8: 0
	9: 0

SYM:
	0: 128
	1: 4
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

MD:
	0: 112
	1: 20
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

WDT:
	0: 129
	1: 3
	2: 0
	3: 0
	4: 0
	5: 0
	6: 0
	7: 0
	8: 0
	9: 0

VBZ:
	0: 74
